degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,vk_size,proof_time,proof_size
23,1,0,1,22,88,3,192,250.0791315s,960
22,2,1,1,21,88,3,256,143.234710666s,1344
21,3,1,1,20,88,3,320,80.685299375s,1696
20,5,1,1,19,88,3,448,50.859340667s,2272
19,9,1,1,18,90,3,704,35.388983083s,3424
18,18,2,1,17,88,3,1312,32.476175292s,6432
17,35,4,1,16,88,3,2464,30.312692417s,12096
16,71,7,1,15,90,3,4864,30.140905542s,23776
15,145,16,1,14,90,3,9888,32.815077041s,48768
14,291,32,1,13,91,3,19744,35.795120125s,97472
13,615,74,1,12,88,3,41824,43.444752208s,208256
