degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,vk_size,proof_time,proof_size,verify_time
22,1,0,1,21,88,3,192,108.858797333s,960,6.111ms
21,2,1,1,20,88,3,256,63.351649125s,1344,6.473708ms
20,4,1,1,19,88,3,384,40.914635041s,1920,3.633167ms
19,7,1,1,18,90,3,576,29.8487535s,2848,4.560708ms
18,13,2,1,17,88,3,992,25.221047792s,4928,6.036083ms
17,26,3,1,16,88,3,1856,21.984741416s,9088,9.293792ms
16,51,6,1,15,90,3,3552,20.796019042s,17536,14.581125ms
15,106,14,1,14,90,3,7328,23.438619875s,36768,25.235459ms
14,213,26,1,13,91,3,14560,24.405766042s,72512,60.342208ms
13,446,60,1,12,88,3,30560,28.738033583s,153824,104.588125ms
