degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,batch_size,window_bits,vk_size,proof_time,proof_size,verify_time
19,7,1,1,18,90,3,25,4,576,4.883879191s,2976,13.258296ms
20,6,1,1,19,88,3,50,4,512,9.183058359s,2624,10.10563ms
23,6,1,1,22,88,3,400,4,512,66.167500442s,2624,9.504071ms
17,93,12,1,16,88,3,100,4,6432,16.798709928s,32256,53.370962ms
18,47,6,1,17,88,3,100,4,3296,16.087783745s,16512,31.746018ms
19,23,3,1,18,90,3,100,4,1664,14.36844057s,8416,19.299455ms
20,12,2,1,18,90,3,100,4,928,16.169697118s,4832,16.840765ms
21,6,1,1,20,88,3,100,4,512,18.226705017s,2624,10.131173ms
22,3,1,1,21,88,3,100,4,320,22.902384567s,1824,11.522007ms
23,2,1,1,22,88,3,100,4,256,33.455040565s,1472,11.232541ms
24,1,0,1,22,88,3,100,4,192,49.372746736s,1056,9.08463ms
