degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,vk_size,proof_time,proof_size,verify_time
20,4,1,1,19,88,3,384,6.576665991s,2048,14.018592ms
19,7,1,1,18,90,3,576,4.846743242s,2976,8.980798ms
18,13,2,1,17,88,3,992,4.792661031s,5056,16.811068ms
17,26,3,1,16,88,3,1856,4.55092911s,9216,23.569048ms
16,51,6,1,15,90,3,3552,4.832891867s,17664,33.724069ms
15,106,13,1,14,88,3,7296,5.83341554s,36416,57.942641ms
20,3,1,1,19,88,3,512,7.499824454s,2016,12.730155ms
19,6,1,1,18,90,3,800,6.059199824s,2912,13.354233ms
18,11,2,1,17,88,3,1568,5.878760425s,5184,19.133284ms
17,22,3,1,16,88,3,2720,4.773062974s,9184,20.45169ms
16,43,6,1,15,90,3,5056,4.807773703s,17376,38.14197ms
15,88,14,1,14,90,3,10080,5.686795329s,35616,64.223109ms
